Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li
1C,,,1D,,,2C,,,2D,,,5C,,,5D,,,10C,,,10D,,
3.727227173,17.50752865,0.936658724,4.25562561,17.50236493,0.17014563,3.648945923,17.50733795,0.842634671,4.244311523,17.50220495,0.189982735,3.659342651,17.50712009,0.848410736,4.218625488,17.50218468,0.229287721,3.686863403,17.50661778,0.856040801,4.189575806,17.50178235,0.284348478
3.726921387,17.75763556,0.935753851,4.253179321,17.75239766,0.171050235,3.649557495,17.75744268,0.841729806,4.242782593,17.75223776,0.19088734,3.659648438,17.75722291,0.847505878,4.217402344,17.7522166,0.230192322,3.687474976,17.75671338,0.855135969,4.188658447,17.7518189,0.285253097
3.727532959,18.00774287,0.934848977,4.251038818,18.00243105,0.171954842,3.649863281,18.00754776,0.840824939,4.240947876,18.00226999,0.191791943,3.66026001,18.00732626,0.846601018,4.216790771,18.00224826,0.231096923,3.687780762,18.00680906,0.854231137,4.188352661,18.00185545,0.286157715
3.727227173,18.25784965,0.933944104,4.249509888,18.25246418,0.172859448,3.650474854,18.25765228,0.839920075,4.239724731,18.25230182,0.192696545,3.660565796,18.25742922,0.845696159,4.215567627,18.25227936,0.232001522,3.688086548,18.25690375,0.853326308,4.187741089,18.25187679,0.287062279
3.727532959,18.50795633,0.933039232,4.247369385,18.50249694,0.173764053,3.65078064,18.50775728,0.839015209,4.237278442,18.50233376,0.193601146,3.661483154,18.5075309,0.844791305,4.214344482,18.5023092,0.232906116,3.688392334,18.50699869,0.852421478,4.187129517,18.50191334,0.287966897
3.728144531,18.75806382,0.932134357,4.245534668,18.75252891,0.174668655,3.651392212,18.75786196,0.838110344,4.236055298,18.75236566,0.194505748,3.66178894,18.75763307,0.843886449,4.21373291,18.75233966,0.233810713,3.689003906,18.75709338,0.851516649,4.186212158,18.75193467,0.288871461
3.728144531,19.00817058,0.931229484,4.243394165,19.00256152,0.175573259,3.652003784,19.00796646,0.83720548,4.234526367,19.00239895,0.195410355,3.662400513,19.00773567,0.842981591,4.212509766,19.00237229,0.234715317,3.689615479,19.00718856,0.850611819,4.185906372,19.00197122,0.289776079
3.728144531,19.25827835,0.930324608,4.241865234,19.2525941,0.176477863,3.652615356,19.25807066,0.836300616,4.233303223,19.25243198,0.19631496,3.663012085,19.25783762,0.842076736,4.211592407,19.25240325,0.235619915,3.690227051,19.25728431,0.849706986,4.184989014,19.25200777,0.290680698
3.728450317,19.50838524,0.929419735,4.240336304,19.50262682,0.177382468,3.652921143,19.50817331,0.835395759,4.231774292,19.50246425,0.197219563,3.663929443,19.50794102,0.841171876,4.210369263,19.50243427,0.236524514,3.690838623,19.50738037,0.848802152,4.184071655,19.50204432,0.291585316
3.728450317,19.75849321,0.928514858,4.237890015,19.7526597,0.178287073,3.653532715,19.75827755,0.834490895,4.230245361,19.75249634,0.198124166,3.664235229,19.75804319,0.84026702,4.209451904,19.75246523,0.237429112,3.690838623,19.75747716,0.847897316,4.183765869,19.75206565,0.29248988
3.728756104,20.00860004,0.927609985,4.23666687,20.00269171,0.179191675,3.653838501,20.00838069,0.833586036,4.229328003,20.00252835,0.199028768,3.664541016,20.00814542,0.839362164,4.208534546,20.00249674,0.238333712,3.691450195,20.00757135,0.846992489,4.183154297,20.00208698,0.293394443
3.72906189,20.25870687,0.926705113,4.235137939,20.25272363,0.180096277,3.654450073,20.25848333,0.832681178,4.227799072,20.25255992,0.199933368,3.665152588,20.258248,0.838457306,4.207005615,20.25252758,0.23923831,3.692061768,20.25766634,0.846087659,4.182848511,20.25212353,0.294299062
3.72906189,20.50881464,0.925800236,4.233914795,20.50275694,0.181000883,3.655061646,20.50858852,0.831776311,4.226575928,20.50259158,0.200837969,3.66576416,20.50835115,0.837552447,4.206394043,20.50255994,0.240142913,3.692367554,20.50776156,0.845182828,4.182236938,20.50214486,0.295203625
3.729367676,20.75892246,0.92489536,4.232080078,20.75278995,0.181905489,3.655367432,20.75869221,0.83087145,4.225352783,20.75262232,0.201742567,3.666069946,20.75845414,0.836647588,4.205782471,20.75259273,0.241047518,3.693284912,20.75785597,0.844278,4.181625366,20.75219663,0.296108299
3.72906189,21.0090301,0.923990484,4.230856934,21.00282224,0.182810092,3.655979004,21.00879718,0.829966584,4.224129639,21.00265311,0.202647164,3.666375732,21.00855643,0.835742732,4.204865112,21.0026255,0.241952123,3.693284912,21.007951,0.84337317,4.181013794,21.00221796,0.297012862
3.729367676,21.25913787,0.923085608,4.229328003,21.25285491,0.183714696,3.656590576,21.25890206,0.829061718,4.222600708,21.25268384,0.203551762,3.667598877,21.25865915,0.834837874,4.203947754,21.25265802,0.242856727,3.694202271,21.25804637,0.842468339,4.180402222,21.25225451,0.29791748
3.729979248,21.50924468,0.922180736,4.227799072,21.50288698,0.184619299,3.657507935,21.50900658,0.828156854,4.221377563,21.50271415,0.204456358,3.667598877,21.50876181,0.833933016,4.203336182,21.50269205,0.243761336,3.694508057,21.50814123,0.84156351,4.179790649,21.50226063,0.298821989
3.730285034,21.75935302,0.921275857,4.226575928,21.75291849,0.185523899,3.657813721,21.75911076,0.827251991,4.220460205,21.75274487,0.205360955,3.668516235,21.75886527,0.833028156,4.202418823,21.75272657,0.244665947,3.695425415,21.75823812,0.840658673,4.179790649,21.75229718,0.299726607
3.73059082,22.0094617,0.920370978,4.225046997,22.00294979,0.186428499,3.658425293,22.00921629,0.826347123,4.219542847,22.00277549,0.206265552,3.669127808,22.0089687,0.832123295,4.201807251,22.00276071,0.245570557,3.695731201,22.00833386,0.83975384,4.179179077,22.00231851,0.300631171
3.730285034,22.25956908,0.919466103,4.224129639,22.25298152,0.1873331,3.659036865,22.25932154,0.825442256,4.218319702,22.25280753,0.207170154,3.670045166,22.25907177,0.831218436,4.200889893,22.25279421,0.246475165,3.696954346,22.25842869,0.838849011,4.178567505,22.25233984,0.301535734
3.730285034,22.50967697,0.918561227,4.222600708,22.50301365,0.188237702,3.659342651,22.50942653,0.82453739,4.216790771,22.50283913,0.208074755,3.66973938,22.50917516,0.830313576,4.20027832,22.50282719,0.24737977,3.697260132,22.50852377,0.837944181,4.178261719,22.50236117,0.302440298
3.731202393,22.75978556,0.917656347,4.221377563,22.75304649,0.189142307,3.659954224,22.75953292,0.823632518,4.216484985,22.75287032,0.208979354,3.670962524,22.75927853,0.829408716,4.199360962,22.75286076,0.248284378,3.697565918,22.75861939,0.837039348,4.177650146,22.7523825,0.303344861
3.730896606,23.00989407,0.916751469,4.219848633,23.00307767,0.190046906,3.660565796,23.00963858,0.82272765,4.215261841,23.00290112,0.209883952,3.671574097,23.0093811,0.828503858,4.19874939,23.00289446,0.249188986,3.698483276,23.00871605,0.836134512,4.17734436,23.00238861,0.304249369
