Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li
1C,,,1D,,,2C,,,2D,,,5C,,,5D,,,10C,,,10D,,
3.720194092,10.00431347,0.963620678,4.346749878,10.001359,0.138644532,3.635491333,10.00419538,0.869117693,4.322592773,10.00125115,0.158582815,3.647111206,10.00407418,0.874922812,4.272749634,10.00124806,0.198087961,3.676160889,10.00375727,0.882591047,4.219848633,10.00099022,0.253429554
3.720499878,10.25442078,0.962711197,4.343080444,10.2513935,0.139553748,3.636102905,10.25430018,0.868208221,4.319840698,10.25128255,0.159492021,3.647416992,10.25417648,0.874013349,4.269997559,10.25128036,0.19899717,3.675855103,10.25385263,0.88168161,4.218625488,10.25102677,0.254338778
3.720805664,10.50452822,0.961801716,4.338799438,10.50142896,0.140462968,3.636408691,10.5044043,0.867298752,4.315559692,10.5013135,0.160401224,3.647416992,10.50427759,0.873103891,4.267857056,10.50131138,0.199906373,3.676466675,10.50394695,0.880772176,4.217402344,10.50106332,0.255248002
3.720805664,10.75463596,0.960892233,4.335130005,10.75146241,0.14137218,3.636408691,10.75450913,0.86638928,4.312196045,10.75134597,0.161310433,3.648028564,10.75437886,0.872194431,4.265410767,10.75134171,0.200815575,3.676772461,10.75404232,0.879862738,4.215873413,10.75108466,0.25615717
3.720805664,11.00474275,0.959982754,4.331154785,11.00149639,0.142281395,3.637020264,11.00461525,0.865479803,4.308832397,11.00137782,0.16221964,3.648640137,11.00448085,0.87128497,4.262964478,11.00137231,0.201724777,3.676772461,11.00413735,0.878953302,4.214956055,11.00110599,0.257066339
3.721417236,11.25485087,0.95907327,4.327485352,11.25153162,0.143190614,3.63732605,11.25472066,0.864570329,4.305774536,11.25140977,0.163128847,3.648640137,11.25458276,0.870375508,4.260518188,11.25140286,0.202633979,3.677078247,11.25423286,0.878043863,4.213427124,11.25112732,0.257975507
3.721723022,11.50495821,0.958163788,4.323815918,11.5015669,0.144099833,3.637631836,11.50482533,0.863660857,4.302105103,11.50144055,0.16403805,3.649251709,11.50468441,0.869466048,4.258683472,11.50143342,0.203543181,3.677689819,11.50432721,0.877134429,4.212203979,11.50113343,0.25888462
3.722028809,11.7550664,0.957254304,4.320452271,11.75160179,0.145009051,3.638243408,11.75493032,0.862751384,4.299047241,11.75147273,0.164947258,3.649557495,11.75478522,0.86855659,4.256848755,11.75146369,0.204452382,3.677689819,11.75442133,0.876224996,4.210980835,11.75116998,0.259793844
3.722028809,12.00517492,0.956344818,4.316477051,12.00163619,0.145918267,3.638549194,12.00503535,0.861841911,4.296295166,12.00150412,0.165856463,3.650169067,12.0048875,0.867647127,4.25409668,12.00149521,0.205361587,3.678301392,12.00451642,0.87531556,4.20975769,12.00120653,0.260703068
3.722334595,12.25528263,0.955435336,4.313113403,12.25167094,0.146827484,3.63885498,12.25514103,0.860932436,4.293237305,12.25153533,0.166765667,3.650474854,12.2549893,0.866737666,4.252261963,12.25152768,0.206270796,3.678301392,12.25461213,0.874406121,4.208840332,12.25124308,0.261612292
3.722334595,12.50538941,0.954525857,4.310055542,12.50170497,0.147736699,3.639466553,12.5052466,0.860022961,4.290485229,12.50156763,0.167674875,3.650474854,12.50509106,0.865828205,4.250427246,12.50155873,0.20718,3.678912964,12.50470786,0.873496682,4.207617188,12.50127963,0.262521515
3.722946167,12.7554964,0.953616377,4.306691895,12.75173695,0.148645906,3.639772339,12.75535044,0.859113493,4.287121582,12.7515994,0.168584082,3.651086426,12.75519416,0.864918739,4.248592529,12.75159019,0.208089205,3.67921875,12.75480382,0.872587242,4.206394043,12.75130096,0.263430684
3.722640381,13.00560322,0.952706897,4.303022461,13.00177001,0.149555117,3.640383911,13.00545496,0.858204022,4.284981079,13.00163135,0.169493289,3.651086426,13.0052964,0.864009277,4.246452026,13.00162104,0.208998409,3.679830322,13.00490003,0.871677801,4.205170898,13.00133751,0.264339908
3.723251953,13.25571058,0.951797416,4.299658813,13.25180205,0.150464325,3.640383911,13.25556024,0.857294548,4.281617432,13.25166366,0.170402497,3.651697998,13.25539747,0.863099818,4.24461731,13.25165328,0.209907617,3.680136108,13.25499494,0.870768365,4.203947754,13.25137406,0.265249131
3.723557739,13.50581742,0.950887937,4.296906738,13.50183408,0.151373532,3.640995483,13.50566524,0.856385075,4.279476929,13.50169612,0.171311706,3.652003784,13.50549909,0.862190358,4.242782593,13.50168455,0.210816821,3.680441895,13.50509149,0.869858923,4.203030396,13.50141061,0.266158355
3.723863525,13.75592407,0.949978458,4.293848877,13.75186593,0.152282739,3.641607056,13.75577,0.855475604,4.276419067,13.75172852,0.172220915,3.652921143,13.75560054,0.861280898,4.240947876,13.75171556,0.211726025,3.680441895,13.75518688,0.868949485,4.202113037,13.75143195,0.267067524
3.723557739,14.00603104,0.949068978,4.290485229,14.00189947,0.153191952,3.641912842,14.00587506,0.854566131,4.274278564,14.00175993,0.17313012,3.652921143,14.0057018,0.860371439,4.239113159,14.00174669,0.212635229,3.681359253,14.00528277,0.868040046,4.201195679,14.00145328,0.267976692
3.723863525,14.25613675,0.948159503,4.288344727,14.25193306,0.154101165,3.642524414,14.25597946,0.85365666,4.271526489,14.25179316,0.174039332,3.653226929,14.25580235,0.859461982,4.237278442,14.25177709,0.213544431,3.681359253,14.25537843,0.867130607,4.20027832,14.25145939,0.268885805
3.724475098,14.50624424,0.947250021,4.284981079,14.50196668,0.155010378,3.643135986,14.50608425,0.852747188,4.268774414,14.50182594,0.174948542,3.653838501,14.50590275,0.858552526,4.235443726,14.50180819,0.214453635,3.681053467,14.505473,0.866221172,4.199360962,14.50148072,0.269794974
3.724169312,14.75635073,0.946340543,4.281923218,14.75200057,0.155919592,3.643441772,14.75618873,0.851837717,4.266939697,14.751858,0.175857749,3.654144287,14.75600292,0.857643071,4.234526367,14.75183937,0.215362839,3.682276611,14.75556837,0.865311734,4.19874939,14.75150205,0.270704142
